bancos_id,Banco,Altura,TOTAL COMERCIAL,TOTAL CONSUMO,TOTAL MICROCREDITO,TOTAL VIVIENDA,FECHAFK
0,ARCO GRUPO BANCOLDEX,+12 MESES,20552.41,0.0,0.0,0.0,20180801
1,ARCO GRUPO BANCOLDEX,+18 MESES,0.0,0.0,0.0,0.0,20180801
2,ARCO GRUPO BANCOLDEX,+4 MESES,0.0,0.0,0.0,0.0,20180801
3,ARCO GRUPO BANCOLDEX,+6 MESES,0.0,0.0,0.0,0.0,20180801
4,ARCO GRUPO BANCOLDEX,1-2 MESES,0.0,0.0,0.0,0.0,20180801
5,ARCO GRUPO BANCOLDEX,1-3 MESES,8690.27,0.0,0.0,0.0,20180801
6,ARCO GRUPO BANCOLDEX,1-4 MESES,0.0,0.0,0.0,0.0,20180801
7,ARCO GRUPO BANCOLDEX,12-18 MESES,0.0,0.0,0.0,0.0,20180801
8,ARCO GRUPO BANCOLDEX,2-3 MESES,0.0,0.0,0.0,0.0,20180801
9,ARCO GRUPO BANCOLDEX,3-4 MESES,0.0,0.0,0.0,0.0,20180801
10,ARCO GRUPO BANCOLDEX,3-6 MESES,12181.1,0.0,0.0,0.0,20180801
11,ARCO GRUPO BANCOLDEX,4-6 MESES,0.0,0.0,0.0,0.0,20180801
12,ARCO GRUPO BANCOLDEX,6-12 MESES,11575.77,0.0,0.0,0.0,20180801
13,ARCO GRUPO BANCOLDEX,6-18 MESES,0.0,0.0,0.0,0.0,20180801
14,ARCO GRUPO BANCOLDEX,Bruto,637918.27,197.68,0.0,1409.06,20180801
15,ARCO GRUPO BANCOLDEX,VIGENTE,584918.72,197.68,0.0,1409.06,20180801
16,B INV BANCOLOMBIA,+12 MESES,0.0,0.0,0.0,0.0,20180801
17,B INV BANCOLOMBIA,+18 MESES,0.0,0.0,0.0,0.0,20180801
18,B INV BANCOLOMBIA,+4 MESES,0.0,0.0,0.0,0.0,20180801
19,B INV BANCOLOMBIA,+6 MESES,0.0,0.0,0.0,0.0,20180801
20,B INV BANCOLOMBIA,1-2 MESES,0.0,0.0,0.0,0.0,20180801
21,B INV BANCOLOMBIA,1-3 MESES,0.0,0.0,0.0,0.0,20180801
22,B INV BANCOLOMBIA,1-4 MESES,0.0,0.0,0.0,0.0,20180801
23,B INV BANCOLOMBIA,12-18 MESES,0.0,0.0,0.0,0.0,20180801
24,B INV BANCOLOMBIA,2-3 MESES,0.0,0.0,0.0,0.0,20180801
25,B INV BANCOLOMBIA,3-4 MESES,0.0,0.0,0.0,0.0,20180801
26,B INV BANCOLOMBIA,3-6 MESES,0.0,0.0,0.0,0.0,20180801
27,B INV BANCOLOMBIA,4-6 MESES,0.0,0.0,0.0,0.0,20180801
28,B INV BANCOLOMBIA,6-12 MESES,0.0,0.0,0.0,0.0,20180801
