covid_id,Departamento,Cantidad Casos,FECHAFK,Estado
0,CORDOBA,152,20220203,Leve
1,SUCRE,134,20200714,Leve
2,CASANARE,54,20201101,Leve
3,NARIÑO,34,20210106,Fallecido
4,CUNDINAMARCA,6,20210413,
5,ARAUCA,20,20210516,Leve
6,NORTE SANTANDER,3,20201217,
7,NARIÑO,1,20220215,Grave
8,TOLIMA,4,20200429,Leve
9,HUILA,32,20210318,Leve
10,BARRANQUILLA,5,20200620,
11,META,244,20220108,Leve
12,CASANARE,1,20210430,
13,RISARALDA,7,20210420,Fallecido
14,CALDAS,1,20210707,
15,SANTANDER,1,20210916,
16,CALDAS,3,20220125,Moderado
17,CHOCO,3,20210519,Fallecido
18,NORTE SANTANDER,2,20210206,Fallecido
19,BOLIVAR,285,20210622,Leve
20,PUTUMAYO,7,20210607,Leve
21,ARAUCA,2,20210525,Fallecido
22,NARIÑO,2,20200331,Leve
23,SUCRE,17,20210301,leve
24,QUINDIO,122,20210618,Leve
25,MAGDALENA,1,20210823,Fallecido
26,ANTIOQUIA,8,20210604,
27,GUAVIARE,4,20201105,Leve
28,CAQUETA,19,20220205,Leve
29,STA MARTA D.E.,1,20201128,
30,STA MARTA D.E.,124,20220128,Leve
31,NARIÑO,2,20200619,Fallecido
32,VALLE,"1,244",20210415,Leve
33,NARIÑO,145,20201214,Leve
34,CORDOBA,31,20200627,Leve
35,SUCRE,2,20200619,Fallecido
36,CORDOBA,35,20200810,Fallecido
37,CHOCO,1,20201028,Fallecido
38,BOLIVAR,47,20210218,Leve
39,GUAVIARE,1,20211228,Leve
40,GUAVIARE,17,20200902,Leve
41,CARTAGENA,1,20200410,Fallecido
42,MAGDALENA,66,20210302,Leve
43,NORTE SANTANDER,22,20201211,Fallecido
44,GUAJIRA,64,20210108,Leve
45,PUTUMAYO,5,20210909,Leve
46,ATLANTICO,13,20200811,Fallecido
47,QUINDIO,130,20210520,Leve
48,CHOCO,1,20200510,Leve
49,GUAJIRA,4,20210428,
50,ARAUCA,2,20210928,Leve
51,SANTANDER,1,20200619,
52,BARRANQUILLA,1,20200822,Fallecido
53,BARRANQUILLA,5,20210727,Fallecido
54,ARAUCA,30,20201105,Leve
55,QUINDIO,42,20200911,Leve
56,STA MARTA D.E.,1,20210730,
57,ANTIOQUIA,"2,726",20210104,Leve
58,CAQUETA,51,20201203,Leve
59,BOGOTA,"1,762",20200714,Leve
60,HUILA,5,20220131,Fallecido
61,MAGDALENA,3,20220130,Fallecido
62,MAGDALENA,4,20200623,Leve
63,BARRANQUILLA,1,20210924,
64,QUINDIO,1,20210425,Fallecido
65,HUILA,6,20201127,Fallecido
66,MAGDALENA,189,20210419,Leve
67,QUINDIO,36,20211127,Leve
68,VAUPES,2,20201228,Leve
69,SANTANDER,9,20201013,Fallecido
70,TOLIMA,310,20201030,Leve
71,ATLANTICO,748,20210407,Leve
72,VALLE,13,20220104,
73,PUTUMAYO,8,20211011,Leve
74,GUAJIRA,1,20220108,
75,CASANARE,32,20210820,Leve
76,RISARALDA,4,20210426,
77,ATLANTICO,5,20201204,Fallecido
78,GUAVIARE,14,20210513,Leve
79,STA MARTA D.E.,1,20211217,Fallecido
80,BOGOTA,272,20211125,Leve
81,CARTAGENA,8,20200519,Fallecido
82,BARRANQUILLA,3,20200527,Fallecido
83,RISARALDA,5,20200925,Fallecido
84,GUAJIRA,2,20201209,Fallecido
85,BARRANQUILLA,26,20210503,Fallecido
86,CASANARE,2,20210908,Leve
87,CHOCO,47,20210719,Leve
88,GUAJIRA,5,20210423,Fallecido
89,BOYACA,1,20210227,Fallecido
90,BOLIVAR,11,20211120,Leve
91,TOLIMA,2,20220109,Grave
92,BOGOTA,3,20220107,Moderado
93,GUAJIRA,1,20211125,Fallecido
94,CUNDINAMARCA,1,20220129,
95,MAGDALENA,20,20210816,Leve
96,BOGOTA,13,20220128,Grave
97,QUINDIO,11,20201216,Fallecido
98,STA MARTA D.E.,8,20210611,Fallecido
99,CORDOBA,32,20210925,Leve
100,PUTUMAYO,6,20210603,Fallecido
101,QUINDIO,5,20210715,Fallecido
102,NARIÑO,2,20200624,Fallecido
103,QUINDIO,7,20210124,Fallecido
104,CAUCA,19,20201109,Leve
105,VALLE,5,20200612,Fallecido
106,CARTAGENA,2,20210530,
107,CESAR,142,20201119,Leve
108,CUNDINAMARCA,1,20210103,
109,SUCRE,3,20200723,
110,NARIÑO,2,20200531,
111,TOLIMA,402,20210527,Leve
112,BARRANQUILLA,137,20210226,Leve
113,SANTANDER,2,20210619,
114,CARTAGENA,1,20220204,Moderado
115,SANTANDER,211,20201005,Leve
116,ARAUCA,4,20200924,Fallecido
117,RISARALDA,6,20220123,Fallecido
118,NARIÑO,3,20201024,
119,STA MARTA D.E.,3,20201106,Fallecido
120,MAGDALENA,2,20200916,
121,CAQUETA,1,20210508,
122,BARRANQUILLA,5,20200619,
123,VALLE,36,20210123,Fallecido
124,QUINDIO,17,20200815,Leve
125,CESAR,7,20200919,Fallecido
126,CALDAS,448,20210414,Leve
127,BARRANQUILLA,1,20220213,Grave
128,BARRANQUILLA,424,20210517,Leve
129,ARAUCA,4,20210715,Fallecido
