date_id,Fecha,Record_timestamp,Dia,Semana,Mes,NombreMes,Cuarter,Semestre,Anio,FechaPK
0,2000-01-01,,Sabado,52,1,Enero,1,1,2000,20000101
1,2000-01-02,,Domingo,52,1,Enero,1,1,2000,20000102
2,2000-01-03,,Lunes,1,1,Enero,1,1,2000,20000103
3,2000-01-04,,Martes,1,1,Enero,1,1,2000,20000104
4,2000-01-05,,Miercoles,1,1,Enero,1,1,2000,20000105
5,2000-01-06,,Jueves,1,1,Enero,1,1,2000,20000106
6,2000-01-07,,Viernes,1,1,Enero,1,1,2000,20000107
7,2000-01-08,,Sabado,1,1,Enero,1,1,2000,20000108
8,2000-01-09,,Domingo,1,1,Enero,1,1,2000,20000109
9,2000-01-10,,Lunes,2,1,Enero,1,1,2000,20000110
10,2000-01-11,,Martes,2,1,Enero,1,1,2000,20000111
11,2000-01-12,,Miercoles,2,1,Enero,1,1,2000,20000112
12,2000-01-13,,Jueves,2,1,Enero,1,1,2000,20000113
13,2000-01-14,,Viernes,2,1,Enero,1,1,2000,20000114
14,2000-01-15,,Sabado,2,1,Enero,1,1,2000,20000115
15,2000-01-16,,Domingo,2,1,Enero,1,1,2000,20000116
16,2000-01-17,,Lunes,3,1,Enero,1,1,2000,20000117
17,2000-01-18,,Martes,3,1,Enero,1,1,2000,20000118
18,2000-01-19,,Miercoles,3,1,Enero,1,1,2000,20000119
19,2000-01-20,,Jueves,3,1,Enero,1,1,2000,20000120
20,2000-01-21,,Viernes,3,1,Enero,1,1,2000,20000121
21,2000-01-22,,Sabado,3,1,Enero,1,1,2000,20000122
22,2000-01-23,,Domingo,3,1,Enero,1,1,2000,20000123
23,2000-01-24,,Lunes,4,1,Enero,1,1,2000,20000124
24,2000-01-25,,Martes,4,1,Enero,1,1,2000,20000125
25,2000-01-26,,Miercoles,4,1,Enero,1,1,2000,20000126
26,2000-01-27,,Jueves,4,1,Enero,1,1,2000,20000127
27,2000-01-28,,Viernes,4,1,Enero,1,1,2000,20000128
28,2000-01-29,,Sabado,4,1,Enero,1,1,2000,20000129
29,2000-01-30,,Domingo,4,1,Enero,1,1,2000,20000130
30,2000-01-31,,Lunes,5,1,Enero,1,1,2000,20000131
31,2000-02-01,,Martes,5,2,Febrero,1,1,2000,20000201
32,2000-02-02,,Miercoles,5,2,Febrero,1,1,2000,20000202
33,2000-02-03,,Jueves,5,2,Febrero,1,1,2000,20000203
34,2000-02-04,,Viernes,5,2,Febrero,1,1,2000,20000204
35,2000-02-05,,Sabado,5,2,Febrero,1,1,2000,20000205
36,2000-02-06,,Domingo,5,2,Febrero,1,1,2000,20000206
37,2000-02-07,,Lunes,6,2,Febrero,1,1,2000,20000207
38,2000-02-08,,Martes,6,2,Febrero,1,1,2000,20000208
39,2000-02-09,,Miercoles,6,2,Febrero,1,1,2000,20000209
40,2000-02-10,,Jueves,6,2,Febrero,1,1,2000,20000210
41,2000-02-11,,Viernes,6,2,Febrero,1,1,2000,20000211
42,2000-02-12,,Sabado,6,2,Febrero,1,1,2000,20000212
43,2000-02-13,,Domingo,6,2,Febrero,1,1,2000,20000213
44,2000-02-14,,Lunes,7,2,Febrero,1,1,2000,20000214
45,2000-02-15,,Martes,7,2,Febrero,1,1,2000,20000215
46,2000-02-16,,Miercoles,7,2,Febrero,1,1,2000,20000216
47,2000-02-17,,Jueves,7,2,Febrero,1,1,2000,20000217
48,2000-02-18,,Viernes,7,2,Febrero,1,1,2000,20000218
49,2000-02-19,,Sabado,7,2,Febrero,1,1,2000,20000219
50,2000-02-20,,Domingo,7,2,Febrero,1,1,2000,20000220
51,2000-02-21,,Lunes,8,2,Febrero,1,1,2000,20000221
52,2000-02-22,,Martes,8,2,Febrero,1,1,2000,20000222
53,2000-02-23,,Miercoles,8,2,Febrero,1,1,2000,20000223
54,2000-02-24,,Jueves,8,2,Febrero,1,1,2000,20000224
55,2000-02-25,,Viernes,8,2,Febrero,1,1,2000,20000225
56,2000-02-26,,Sabado,8,2,Febrero,1,1,2000,20000226
57,2000-02-27,,Domingo,8,2,Febrero,1,1,2000,20000227
58,2000-02-28,,Lunes,9,2,Febrero,1,1,2000,20000228
59,2000-02-29,,Martes,9,2,Febrero,1,1,2000,20000229
60,2000-03-01,,Miercoles,9,3,Marzo,1,1,2000,20000301
61,2000-03-02,,Jueves,9,3,Marzo,1,1,2000,20000302
62,2000-03-03,,Viernes,9,3,Marzo,1,1,2000,20000303
63,2000-03-04,,Sabado,9,3,Marzo,1,1,2000,20000304
64,2000-03-05,,Domingo,9,3,Marzo,1,1,2000,20000305
65,2000-03-06,,Lunes,10,3,Marzo,1,1,2000,20000306
66,2000-03-07,,Martes,10,3,Marzo,1,1,2000,20000307
67,2000-03-08,,Miercoles,10,3,Marzo,1,1,2000,20000308
68,2000-03-09,,Jueves,10,3,Marzo,1,1,2000,20000309
69,2000-03-10,,Viernes,10,3,Marzo,1,1,2000,20000310
70,2000-03-11,,Sabado,10,3,Marzo,1,1,2000,20000311
71,2000-03-12,,Domingo,10,3,Marzo,1,1,2000,20000312
72,2000-03-13,,Lunes,11,3,Marzo,1,1,2000,20000313
73,2000-03-14,,Martes,11,3,Marzo,1,1,2000,20000314
74,2000-03-15,,Miercoles,11,3,Marzo,1,1,2000,20000315
75,2000-03-16,,Jueves,11,3,Marzo,1,1,2000,20000316
76,2000-03-17,,Viernes,11,3,Marzo,1,1,2000,20000317
77,2000-03-18,,Sabado,11,3,Marzo,1,1,2000,20000318
78,2000-03-19,,Domingo,11,3,Marzo,1,1,2000,20000319
79,2000-03-20,,Lunes,12,3,Marzo,1,1,2000,20000320
80,2000-03-21,,Martes,12,3,Marzo,1,1,2000,20000321
81,2000-03-22,,Miercoles,12,3,Marzo,1,1,2000,20000322
82,2000-03-23,,Jueves,12,3,Marzo,1,1,2000,20000323
83,2000-03-24,,Viernes,12,3,Marzo,1,1,2000,20000324
84,2000-03-25,,Sabado,12,3,Marzo,1,1,2000,20000325
85,2000-03-26,,Domingo,12,3,Marzo,1,1,2000,20000326
86,2000-03-27,,Lunes,13,3,Marzo,1,1,2000,20000327
87,2000-03-28,,Martes,13,3,Marzo,1,1,2000,20000328
88,2000-03-29,,Miercoles,13,3,Marzo,1,1,2000,20000329
89,2000-03-30,,Jueves,13,3,Marzo,1,1,2000,20000330
90,2000-03-31,,Viernes,13,3,Marzo,1,1,2000,20000331
91,2000-04-01,,Sabado,13,4,Abril,2,1,2000,20000401
92,2000-04-02,,Domingo,13,4,Abril,2,1,2000,20000402
93,2000-04-03,,Lunes,14,4,Abril,2,1,2000,20000403
94,2000-04-04,,Martes,14,4,Abril,2,1,2000,20000404
95,2000-04-05,,Miercoles,14,4,Abril,2,1,2000,20000405
96,2000-04-06,,Jueves,14,4,Abril,2,1,2000,20000406
97,2000-04-07,,Viernes,14,4,Abril,2,1,2000,20000407
98,2000-04-08,,Sabado,14,4,Abril,2,1,2000,20000408
99,2000-04-09,,Domingo,14,4,Abril,2,1,2000,20000409
100,2000-04-10,,Lunes,15,4,Abril,2,1,2000,20000410
101,2000-04-11,,Martes,15,4,Abril,2,1,2000,20000411
102,2000-04-12,,Miercoles,15,4,Abril,2,1,2000,20000412
103,2000-04-13,,Jueves,15,4,Abril,2,1,2000,20000413
104,2000-04-14,,Viernes,15,4,Abril,2,1,2000,20000414
105,2000-04-15,,Sabado,15,4,Abril,2,1,2000,20000415
106,2000-04-16,,Domingo,15,4,Abril,2,1,2000,20000416
107,2000-04-17,,Lunes,16,4,Abril,2,1,2000,20000417
108,2000-04-18,,Martes,16,4,Abril,2,1,2000,20000418
109,2000-04-19,,Miercoles,16,4,Abril,2,1,2000,20000419
110,2000-04-20,,Jueves,16,4,Abril,2,1,2000,20000420
111,2000-04-21,,Viernes,16,4,Abril,2,1,2000,20000421
112,2000-04-22,,Sabado,16,4,Abril,2,1,2000,20000422
113,2000-04-23,,Domingo,16,4,Abril,2,1,2000,20000423
114,2000-04-24,,Lunes,17,4,Abril,2,1,2000,20000424
115,2000-04-25,,Martes,17,4,Abril,2,1,2000,20000425
116,2000-04-26,,Miercoles,17,4,Abril,2,1,2000,20000426
117,2000-04-27,,Jueves,17,4,Abril,2,1,2000,20000427
118,2000-04-28,,Viernes,17,4,Abril,2,1,2000,20000428
119,2000-04-29,,Sabado,17,4,Abril,2,1,2000,20000429
120,2000-04-30,,Domingo,17,4,Abril,2,1,2000,20000430
121,2000-05-01,,Lunes,18,5,Mayo,2,1,2000,20000501
122,2000-05-02,,Martes,18,5,Mayo,2,1,2000,20000502
123,2000-05-03,,Miercoles,18,5,Mayo,2,1,2000,20000503
124,2000-05-04,,Jueves,18,5,Mayo,2,1,2000,20000504
125,2000-05-05,,Viernes,18,5,Mayo,2,1,2000,20000505
126,2000-05-06,,Sabado,18,5,Mayo,2,1,2000,20000506
127,2000-05-07,,Domingo,18,5,Mayo,2,1,2000,20000507
128,2000-05-08,,Lunes,19,5,Mayo,2,1,2000,20000508
129,2000-05-09,,Martes,19,5,Mayo,2,1,2000,20000509
130,2000-05-10,,Miercoles,19,5,Mayo,2,1,2000,20000510
