seguros_id,FECHAFK,RAMO,SEGMENTO_RAMO,COMPANIA_ORIGINA,COMPANIA,M_SINIESTROS_INCURRIDOS,M_PRIMAS_DEVENGADAS,M_PRIMAS_EMITIDAS,M_RESULTADO_TECNICO,M_GASTOS_ADMINISTRATIVOS_Y_DE
0,20181101,Vida Individual,Vida,LIBERTY VIDA,LIBERTY,364.805,-216.975,715.295,-120618.625,41753.522
1,20181101,Accidentes personales,Vida,LIBERTY VIDA,LIBERTY,40.468,270.171,82.02,-13444.916,28062.724
2,20181101,Colectivo vida,Vida,LIBERTY VIDA,LIBERTY,261.993,385.504,364.27,-3440.699,5288.358
3,20181101,Exequias,Vida,LIBERTY VIDA,LIBERTY,527.632,797.647,377.862,-10235.722,19217.037
4,20181101,Total ramos de personas,Vida,LIBERTY VIDA,LIBERTY,2538.972,2848.51,2900.523,-1121526.055,139621.655
5,20181101,Vida Grupo,Vida,LIBERTY VIDA,LIBERTY,1344.073,1612.163,1361.077,-53383.597,45300.013
6,20181201,Exequias,Vida,LIBERTY VIDA,LIBERTY,406.521,723.87,375.513,-6344.083,20672.277
7,20181201,Total ramos de personas,Vida,LIBERTY VIDA,LIBERTY,1253.906,2488.488,2319.266,-42659.906,123076.287
8,20181201,Vida Grupo,Vida,LIBERTY VIDA,LIBERTY,1621.738,1433.239,1013.632,-73007.109,30719.79
9,20181201,Colectivo vida,Vida,LIBERTY VIDA,LIBERTY,-445.709,437.37,476.909,64706.321,9496.124
10,20181201,Accidentes personales,Vida,LIBERTY VIDA,LIBERTY,-73.735,224.012,67.964,-5787.835,20507.265
11,20181201,Vida Individual,Vida,LIBERTY VIDA,LIBERTY,-254.909,-330.004,385.248,-22177.686,-458884.291
12,20190101,Colectivo vida,Vida,LIBERTY VIDA,LIBERTY,98.337,371.64,280.051,11942.091,3738.811
13,20190101,Accidentes personales,Vida,LIBERTY VIDA,LIBERTY,59.286,151.083,49.244,-31517.649,25599.957
14,20190101,Total ramos de personas,Vida,LIBERTY VIDA,LIBERTY,1662.084,2912.199,2294.463,-126179.533,129012.632
15,20190101,Vida Individual,Vida,LIBERTY VIDA,LIBERTY,222.654,615.113,644.396,-9903.832,3958.692
16,20190101,Vida Grupo,Vida,LIBERTY VIDA,LIBERTY,853.608,1279.274,1039.341,-62850.923,3622.138
17,20190101,Exequias,Vida,LIBERTY VIDA,LIBERTY,428.199,495.089,281.431,-33849.219,23865.564
18,20190201,Vida Individual,Vida,LIBERTY VIDA,LIBERTY,684.312,514.355,570.34,-64524.131,69908.891
19,20190201,Exequias,Vida,LIBERTY VIDA,LIBERTY,578.197,578.247,377.951,-39951.23,24635.121
20,20190201,Total ramos de personas,Vida,LIBERTY VIDA,LIBERTY,2843.348,2540.006,1969.555,-200235.883,102741.282
21,20190201,Colectivo vida,Vida,LIBERTY VIDA,LIBERTY,-23.977,321.318,259.8,15544.204,9593.313
22,20190201,Vida Grupo,Vida,LIBERTY VIDA,LIBERTY,1251.936,1044.577,722.895,-72894.832,2769.781
23,20190201,Accidentes personales,Vida,LIBERTY VIDA,LIBERTY,352.88,81.509,38.57,-38409.896,6534.375
24,20190301,Total ramos de personas,Vida,LIBERTY VIDA,LIBERTY,1218.895,1359.267,1914.552,-212933.84,117017.511
